id,track_id,lyrics,title,main_artist,artists,genre,album,year,duration_ms,mode,tempo,energy,valence,loudness,speechiness,acousticness,danceability,instrumentalness
1572,355097,"We're only making plans for Nigel (ooh) We only want what's best for him (ooh) We're only making plans for Nigel (ooh) Nigel just needs that helping hand (ooh) And if young Nigel says he's happy He must be happy, he must be happy He must be happy in his work We're only making plans for Nigel (ooh) He has this future in a British steel (ooh) We're only making plans for Nigel (ooh) Nigel's whole future is as good as sealed, yeah (ooh) And if young Nigel says he's happy He must be happy, he must be happy He must be happy in his work Nigel is not outspoken but he likes to speak And he loves to be spoken to (in his work) Nigel is happy in his work (in his work) Nigel is happy in his work (in his work) We're only making plans for Nigel (ooh) We only want what's best for him (ooh) We're only making plans for Nigel (ooh) Nigel just needs this helping hand (ooh) And if young Nigel says he's happy He must be happy, he must be happy He must be happy in his work Mmm, we're only making plans for Nigel (ooh-oh-ooh) We only want what's best for him (ooh-oh-ooh) We're only making plans for Nigel (ooh-oh-ooh) Nigel just needs this helping hand (ooh-oh-ooh) We're only making plans for Nigel (ooh-oh-ooh) He has this future in a British steel (ooh-oh-ooh) Steel, steel, steel, steel, steel, yeah We're only making plans for Nigel Nigel, Nigel, Nigel, Nigel (ooh-oh-ooh) Nigel, Nigel, Nigel, Nigel (ooh-oh-ooh) Nigel, Nigel, Nigel, Nigel (ooh-oh-ooh) Nigel, Nigel, Nigel, Nigel",Making Plans For Nigel,XTC,XTC,pop,Drums And Wires,1979.0,253800,0,150.09690856933594,0.9298948049545288,0.24466587603092194,-11.392035484313965,0.9074041843414307,5.825555035698926e-06,0.4233132004737854,0.08187504857778549
1573,30205038,"От границы мы Землю вертели назад Было дело, сначала Но обратно её закрутил наш комбат Оттолкнувшись ногой от Урала Наконец-то нам дали приказ наступать Отбирать наши пяди и крохи Но мы помним, как солнце отправилось вспять И едва не зашло на Востоке Мы не меряем Землю шагами Понапрасну цветы теребя Мы толкаем её сапогами От себя, от себя И от ветра с Востока пригнулись стога Жмётся к скалам отара Ось земную мы сдвинули без рычага Изменив направленье удара Не пугайтесь, когда не на месте закат Судный день - это сказки для старших Просто Землю вращают, куда захотят Наши сменные роты на марше Мы ползём, бугорки обнимаем Кочки тискаем зло, не любя И коленями Землю толкаем От себя, от себя Здесь никто б не нашёл, даже если б хотел Руки кверху поднявших Всем живым - ощутимая польза от тел Как прикрытье используем павших Этот глупый свинец всех ли сразу найдёт Где настигнет - в упор или с тыла? Кто-то там впереди навалился на дот И Земля на мгновенье застыла Я ступни свои сзади оставил Мимоходом по мёртвым скорбя Шар земной я вращаю локтями От себя, от себя Кто-то встал в полный рост и, отвесив поклон Принял пулю на вдохе Но на Запад, на Запад ползет батальон Чтобы солнце взошло на Востоке Животом - по грязи, дышим смрадом болот Но глаза закрываем на запах Нынче по небу солнце нормально идёт Потому что мы рвёмся на Запад! Руки, ноги - на месте ли, нет ли Как на свадьбе, росу пригубя Землю тянем зубами за стебли На себя, под себя, от себя!",Мы вращаем землю,Владимир Высоцкий,Владимир Высоцкий,rusbards,Владимир Высоцкий: Избранное,2005.0,225760,0,120.9991683959961,0.6171150803565979,0.6778948307037354,-21.98833465576172,0.9206433296203613,0.30047839879989624,0.475158154964447,0.09054943919181824
1574,45307898,"Кто виноват, что ты устал, Что не нашел, чего ты ждал. Все потерял, что так искал, Поднялся в небо и упал. Еще не наш, но день за днем Уходит жизнь чужим путем. И одиноким стал твой дом. И пусто за твоим окном. И меркнет свет. И молкнут звуки, И новые муки ищут руки. И если боль твоя стихает, Значит будет новая беда. Кто виноват, скажи-ка, брат, Один - женат, второй - богат. Один смешен, другой - влюблен, Один дурак, другой - твой враг. И в чем вина, что там и тут Друг друга ждут и тем живут. Но скучен день и ночь пуста, Забиты теплые места. И меркнет свет. И молкнут звуки, И новые муки ищут руки. И если боль твоя стихает, Значит будет новая беда. Кто виноват и в чем секрет, Что горя нет и счастья нет. Без поражений нет побед. И равен счет, чтоб дать тебе. И чья вина, что ты один, И жизнь одна и так бледна, И так скучна, а ты все ждешь, Что ты когда-нибудь умрешь. И меркнет свет. И молкнут звуки, И новые муки ищут руки. И если боль твоя стихает, Значит будет новая беда.",Кто виноват,Воскресение,Воскресение,rusrock,Легенды русского рока: Воскресение. Часть 1,1996.0,258090,1,153.4482421875,0.7674902677536011,0.6680968999862671,-20.681427001953125,0.8605541586875916,0.24258305132389069,0.6884714365005493,0.15016525983810425
1575,206047,"What I want, I want now And it's a whole lot more than ""anyhow"" I want to fly, fly a fountain I want to jump, jump, jump, jump a mountain I understand all (I see no) Destructive urges (I see no) But it seems so perfect (I see no) I see, I see no evil I get ideas, I get a notion I want a nice little boat made out of ocean I get your point, you're so sharp Getting good reactions with your ""BeBo"" talk I understand all (I see no) Destructive urges (I see no) It seems so perfect (I see no) I see, I see no evil Don't say ""unconscious"", no, don't say ""doom"" Well, if you got to say it, oh, let me leave this room 'Cause what I want, I want now And it's a whole lot more than ""anyhow"", get it? I understand all (I see no) Destructive urges (I see no) But it seems so perfect (I see no) I see, I see no evil I'm running wild with the one I love (I see no evil) I'm going crazy with the one I love (I see no evil) I keep on dancing with the one I love (I see no evil) You control the feelings of the one you love (I see no evil) You control the feelings of the one you love (I see no evil) You can feed the fires of the one you love (I see no evil) You combine fusion with the one you love (I see no evil) Pull down the future with the one you love (I see no evil) You pull down the future with the one you love (I see no evil) You pull down the future with the one you love (I see no evil) You pull down the future with the one you love (I see no evil) You pull down the future with the one you love (I see no evil) You pull down the future-",See No Evil,Television,Television,rock,Marquee Moon,1977.0,232960,1,144.05284118652344,0.9469448924064636,0.4194394052028656,-12.867449760437012,0.886141300201416,0.21479009091854095,0.3153505325317383,0.11170756816864014
1576,8778,"Lord, I was born a ramblin' man Tryin' to make a livin' and doin' the best I can And when it's time for leavin', I hope you'll understand That I was born a ramblin' man Well my father was a gambler down in Georgia And he wound up on the wrong end of gun And I was born in the back seat of a Greyhound bus Rollin' down Highway 41 Lord, I was born a ramblin' man Tryin' to make a livin' and doin' the best I can When it's time for leavin', I hope you'll understand That I was born a ramblin' man I'm on my way to New Orleans this mornin' Leaving out of Nashville, Tennessee They're always having a good time down on the bayou Lord, and Delta women think the world of me Lord, I was born a ramblin' man Tryin' to make a livin' and doin' the best I can And when it's time for leavin', I hope you'll understand That I was born a ramblin' man Lord, I was born a ramblin' man Lord, I was born a ramblin' man Lord, I was born a ramblin' man Lord, I was born a ramblin' man",Ramblin' Man,The Allman Brothers Band,The Allman Brothers Band,rock,Trouble No More: 50th Anniversary Collection,2019.0,296820,1,87.26412200927734,0.9021235704421997,0.8044340014457703,-12.110581398010254,0.6092146039009094,0.5706577897071838,0.3655160963535309,0.3097272217273712
1579,631476,"Hey sister, go sister, soul sister, go sister Hey sister, go sister, soul sister, go sister He met Marmalade down in Old New Orleans Struttin' her stuff on the street She said, ""Hello, hey Joe You wanna give it a go?"" Gitchi gitchi ya ya da da Gitchi gitchi ya ya here Mocha chocolata, ya ya Creole Lady Marmalade Voulez-vous coucher avec moi ce soir? Voulez-vous coucher avec moi? He stayed in her boudoir While she freshened up That boy drank all that Magnolia wine On her black satin sheets Where he started to freak Gitchi gitchi ya ya da da Gitchi gitchi ya ya here Mocha chocolata, ya ya Creole Lady Marmalade Voulez-vous coucher avec moi ce soir? Voulez-vous coucher avec moi? Hey, hey, hey Seeing her skin, feeling silky smooth Color of cafe au lait Made the savage beast inside Roaring until it cried, ""More, more, more!"" Now he's at home doing 9 to 5 Living his brave life of lies But when he turns off to sleep All memories keep more, more, more Gitchi gitchi ya ya da da da Gitchi gitchi ya ya here Mocha chocolata, ya ya Creole Lady Marmalade Voulez-vous coucher avec moi ce soir? Voulez-vous coucher avec moi? Voulez-vous couchez avec moi ce soir? Creole Lady Marmalade Voulez-vous coucher avec moi ce soir? Voulez-vous coucher avec moi? Voulez-vous couchez avec moi ce soir? Voulez-vous coucher avec moi? Voulez-vous coucher avec moi ce soir? Voulez-vous coucher avec moi? Voulez-vous coucher avec moi ce soir? Voulez-vous coucher avec moi? Gitchi gitchi ya ya da da Gitchi gitchi ya ya here Mocha chocolata, ya ya Gitchi gitchi ya ya here",Lady Marmalade,LaBelle,LaBelle,rnb,Patti LaBelle's Greatest Hits,1996.0,236490,1,117.36392211914062,0.9191761016845703,0.867211103439331,-15.845170021057129,0.899951159954071,0.328983336687088,0.5541229844093323,0.07850248366594315
1580,97388,"Gold Coast slave ship bound for cotton fields Sold in the market down in New Orleans Scarred old slaver knows he's doin' alright Hear him whip the women just around midnight Brown sugar How come you taste so good? Uh-huh Brown sugar Just like a young girl should, uh-huh, oh (whoo!) Drums beatin' cold, English blood runs hot Lady of the house wonderin' when it's gonna stop House boy knows that he's doin' alright You should have heard him just around midnight Brown sugar How come you taste so good now? Brown sugar Just like a young girl should now, yeah Ah, get it on, brown sugar How come you taste so good, baby? Ah, got me cravin' the, the brown sugar Just like a black girl should, yeah Ah, now, I bet your mama was a tent show queen And all her boyfriends were sweet 16 I'm no schoolboy, but I know what I like You should've heard me just around midnight Brown sugar How come you taste so good, baby? Ah, baby, brown sugar Just like a young girl should, yeah, baby I said, yeah, yeah, yeah, whoo! How come you, how come you taste so good? Yeah, yeah, yeah, whoo! Just like a, just like a black girl should Yeah, yeah, yeah, whoo!",Brown Sugar,The Rolling Stones,The Rolling Stones,rock,Honk,2019.0,230240,1,128.50729370117188,0.9018974900245667,0.6668590903282166,-9.222058296203613,0.8669864535331726,0.05951503664255142,0.40166470408439636,0.11814060062170029
1581,560328,You got to lose You can't win all the time You got to lose You can't win all the time Well I know pretty baby I see trouble comin' down the line Well I was out on the streets baby I did not have no money Don't you worry pretty baby I'll be back on my feet soon honey You got to lose You can't win all the time Well I know pretty baby I see trouble comin' down the line You got to lose You can't win all the time You got to lose You can't win all the time Yes I know pretty baby I see trouble comin' down the line Yeah I was out on the streets I did not have no friends I didn't have no money And nothing I could spend You got to lose You can't win all the time Well I know pretty baby I see trouble comin' down the line,You Got To Lose,George Thorogood,George Thorogood,pop,George Thorogood & The Destroyers,2013.0,200090,1,111.50367736816406,0.9743340611457825,0.6135390996932983,-16.271486282348633,0.7722607254981995,0.385705828666687,0.5109989047050476,0.17814883589744568
1582,25728,"After midnight We're gonna let it all hang out After midnight We're gonna chug-a-lug and shout We're gonna cause talk and suspicion, give an exhibition Find out what it is all about After midnight, we're gonna let it all hang out After midnight Gonna shake your tambourine After midnight It's gonna be peaches and cream We're gonna cause talk and suspicion, give an exhibition Find out what it is all about After midnight, we're gonna let it all hang out We're gonna cause talk and suspicion Give an exhibition Find out what it is all about After midnight We're gonna let it all hang out After midnight We're gonna let it all hang out",After Midnight,JJ Cale,JJ Cale,rock,Anyway The Wind Blows - The Anthology,1997.0,144160,0,95.99980163574219,0.5312119126319885,0.3593433201313019,-25.547136306762695,0.6895546913146973,0.6281774044036865,0.24568483233451843,0.37926989793777466
1583,343643,"There's a new sensation A fabulous creation A danceable solution To teenage revolution Do the strand, love When you feel love It's the new way That's why we say ""Do the strand!"" Do it on the tables Quaglino's place or Mabel's Slow and gentle Sentimental All styles served here Louis Seize he prefer Laissez-faire Le Strand Tired of the tango Fed up with fandango Dance on moonbeams Slide on rainbows In furs or blue jeans You know what I mean? Do the strand! (Ooh!) Had your fill of Quadrilles The Madison and cheap thrills Bored with the Beguine The samba isn't your scene They're playing our tune By the pale moon We're incognito Down the Lido And we like the strand Arabs at oasis Eskimos and Chinese If you feel blue Look through who's who See La Goulue And Nijinsky Do the strandsky! Weary of the Waltz And mashed potato schmaltz Rhododendron Is a nice flower Evergreenin' It lasts forever But it can't beat strand power The Sphynx and Mona Lisa Lolita and Guernica Did the strand",Do The Strand,Roxy Music,Roxy Music,pop,Platinum Collection,2005.0,243800,1,137.25735473632812,0.950722336769104,0.3639989197254181,-10.123854637145996,0.7814469337463379,0.07843101769685745,0.2975669503211975,0.1836293488740921
1584,33952676,"Love hurts, love scars Love wounds and marks any heart Not tough or strong enough To take a lot of pain, take a lot of pain Love is like a cloud, holds a lot of rain Love hurts, ooh, ooh, love hurts I'm young, I know, but even so I know a thing or two I learned from you I really learned a lot, really learned a lot Love is like a flame It burns you when it's hot Love hurts, ooh, ooh, love hurts Some fools think of happiness Blissfulness, togetherness Some fools, fool themselves, I guess They're not foolin' me I know it isn't true, I know it isn't true Love is just a lie, made to make you blue Love hurts, ooh, ooh, love hurts Ooh, ooh, love hurts Yes I know it isn't true I know it isn't true Love is just a lie It's made to make you blue Love hurts Ooh, ooh, love hurts Ooh, ooh, love hurts Ooh, ooh Thank you",Love Hurts,Nazareth,Nazareth,hardrock,The Singles,2026.0,233010,1,80.00444793701172,0.9573553800582886,0.2561019957065582,-11.664695739746094,0.8390927314758301,0.16276875138282776,0.2185281664133072,0.1663365364074707
1585,56437762,"Boogie fever Got to boogie down Boogie fever I think it's going around I took my baby to the drive-in show She turned the speaker down And then she turned on the radio I watched a silent movie, diggin' funky sound She's got the boogie fever She likes to boogie down Boogie fever I think it's going around I took my baby to the pizza parlor (pizza parlor) To get a bite to eat, na-na, hey I put some money in the jukebox for her You know she ate her pizza dancing to the beat She's got the boogie fever She likes to boogie down Ah-ah-ah, she's got the boogie fever I think it's going around (All night long) we did the bump, bump, bump Yes, we did, yes, we did, yes, we did, yeah (yeah) (She kept it going strong) doin' the bump, bump, bump Doin' the bump, bump, bump, yeah (yeah) I called the doctor on the telephone (doctor, doctor) Said doctor, doctor, please, I, I, I I got this feeling rockin' and a-reelin', tell me What can it be, is it some new disease? They call it boogie fever You've got to boogie down Ah-ah-ah, just get on down Boogie fever I think it's going around Fever, fever, fever Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh (All night long) we did the bump, bump, bump Yes, we did, yes, we did, yes, we did (yeah) (We kept it going strong) doin' the bump, bump, bump (Yeah) everybody's got the boogie fever (Boogie fever, baby) Boogie down, now get on down, now get on down Boogie fever (bo-bo-bo-bo-boogie fever) I think it's going around, and around, and around I say, I (I got the boogie fever) And I said, you (you got the boogie fever) I said, she's (she's got the boogie fever) Everybody's got the boogie fever Boogie fever Boogie down Just get on down, just get on down Boogie fever (bo-bo-bo-bo-boogie fever...)",Boogie Fever,The Sylvers,The Sylvers,rnb,Showcase,1975.0,211410,1,132.70245361328125,0.6045066714286804,0.8372007012367249,-16.421960830688477,0.963415265083313,0.002031720709055662,0.8944770097732544,0.058940500020980835
